
Tesla Inc,Last: 213.88,Change:  4.67
Date: 10 novembre 2023 à 18:55 UTC−5,Bid: 213.87,Ask: 213.9,Size: 7*3,Volume: 130 859 611
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Nov 10 2023,TSLA231110C00020000,194.45,5.35,193.8,195.5,6,0,1,0,5,20.00,TSLA231110P00020000,0.01,0.005,0,0.01,2,0,0,0,50
Fri Nov 10 2023,TSLA231110C00030000,184.45,5.35,184.2,186.05,50,0,1,0,52,30.00,TSLA231110P00030000,0.01,0,0,0.01,0,0,0,0,71
Fri Nov 10 2023,TSLA231110C00040000,173.9,4.775,173.85,175.5,10,0,1,0,3,40.00,TSLA231110P00040000,0.02,0,0,0.01,0,0,0,0,12
Fri Nov 10 2023,TSLA231110C00050000,164.55,5.425,163.85,165.5,34,0,1,0,0,50.00,TSLA231110P00050000,0.01,0,0,0.01,0,0,0,0,35
Fri Nov 10 2023,TSLA231110C00060000,154.55,5.4,153.35,156.05,14,0,1,0,0,60.00,TSLA231110P00060000,0.01,0,0,0.01,0,0,0,0,2141
Fri Nov 10 2023,TSLA231110C00070000,144.45,5.3,143.35,145.5,13,0,1,0,0,70.00,TSLA231110P00070000,0.01,0,0,0.01,0,0,0,0,3264
Fri Nov 10 2023,TSLA231110C00080000,134.7,5.55,133.85,135.5,7,0,1,0,1,80.00,TSLA231110P00080000,0.03,0,0,0.01,0,0,0,0,8497
Fri Nov 10 2023,TSLA231110C00085000,129.7,5.55,128.85,130.5,36,0,1,0,0,85.00,TSLA231110P00085000,0.01,0,0,0.01,0,0,0,0,3951
Fri Nov 10 2023,TSLA231110C00090000,124.5,5.25,123.85,125.5,35,0,1,0,18,90.00,TSLA231110P00090000,0.01,0.005,0,0.01,3,0,0,0,5874
Fri Nov 10 2023,TSLA231110C00095000,119.75,5.6,119.1,121.05,19,0,1,0,6,95.00,TSLA231110P00095000,0.01,0,0,0.01,0,0,0,0,722
Fri Nov 10 2023,TSLA231110C00100000,114.65,5.4,113.85,115.55,22,0,1,0,24,100.00,TSLA231110P00100000,0.01,0,0,0.01,0,0,0,0,11582
Fri Nov 10 2023,TSLA231110C00105000,108.7,4.45,109.2,111.05,3,0,1,0,5,105.00,TSLA231110P00105000,0.02,0,0,0.01,0,0,0,0,4932
Fri Nov 10 2023,TSLA231110C00110000,104.7,5.45,104.2,105.55,28,0,1,0,51,110.00,TSLA231110P00110000,0.01,0.005,0,0.01,10,0,0,0,6839
Fri Nov 10 2023,TSLA231110C00115000,99.25,5,98.85,101.05,35,0,1,0,16,115.00,TSLA231110P00115000,0.01,0,0,0.02,0,0,0,0,1678
Fri Nov 10 2023,TSLA231110C00120000,94.7,5.45,94.2,96.05,40,0,1,0,59,120.00,TSLA231110P00120000,0.01,0.005,0,0.01,2,0,0,0,2922
Fri Nov 10 2023,TSLA231110C00125000,89.45,5.2,88.85,91.05,6,0,1,0,68,125.00,TSLA231110P00125000,0.01,0,0,0.01,0,0,0,0,1699
Fri Nov 10 2023,TSLA231110C00130000,84.7,5.45,83.85,86.05,20,0,1,0,37,130.00,TSLA231110P00130000,0.01,0,0,0.01,0,0,0,0,4990
Fri Nov 10 2023,TSLA231110C00135000,79.2,4.95,78.4,80.5,12,0,1,0,17,135.00,TSLA231110P00135000,0.01,0.005,0,0.02,3,0,0,0,3234
Fri Nov 10 2023,TSLA231110C00140000,74.3,5.05,73.85,75.5,2,0,1,0,154,140.00,TSLA231110P00140000,0.01,0,0,0.01,0,0,0,0,7986
Fri Nov 10 2023,TSLA231110C00141000,0,0,72.85,75.05,0,0,1,0,0,141.00,TSLA231110P00141000,0.01,0,0,0.06,0,0,0,0,326
Fri Nov 10 2023,TSLA231110C00142000,72.4,0,71.85,74.05,0,0,1,0,0,142.00,TSLA231110P00142000,0.01,0,0,0.06,0,0,0,0,205
Fri Nov 10 2023,TSLA231110C00143000,0,0,70.85,72.55,0,0,1,0,0,143.00,TSLA231110P00143000,0.01,0,0,0.06,0,0,0,0,260
Fri Nov 10 2023,TSLA231110C00144000,69.05,3.8,69.35,71.55,1,0,1,0,0,144.00,TSLA231110P00144000,0.01,0,0,0.06,0,0,0,0,1128
Fri Nov 10 2023,TSLA231110C00145000,67.28,3.03,68.85,70.55,1,0,1,0,8,145.00,TSLA231110P00145000,0.01,0.005,0,0.01,6,0,0,0,1579
Fri Nov 10 2023,TSLA231110C00146000,68.8,5.55,67.35,70.05,30,0,1,0,1,146.00,TSLA231110P00146000,0.01,0,0,0.06,0,0,0,0,567
Fri Nov 10 2023,TSLA231110C00147000,67.45,5.2,66.85,68.55,5,0,1,0,2,147.00,TSLA231110P00147000,0.01,0.005,0,0.06,1,0,0,0,1081
Fri Nov 10 2023,TSLA231110C00148000,70.92,0,65.85,68.05,0,0,1,0,14,148.00,TSLA231110P00148000,0.01,0,0,0.06,0,0,0,0,2400
Fri Nov 10 2023,TSLA231110C00149000,65.3,5.05,64.85,66.55,6,0,1,0,4,149.00,TSLA231110P00149000,0.01,0,0,0.01,0,0,0,0,3104
Fri Nov 10 2023,TSLA231110C00150000,64.8,5.65,63.9,66.05,21,0,1,0,106,150.00,TSLA231110P00150000,0.01,0.005,0,0.01,1,0,0,0,7712
Fri Nov 10 2023,TSLA231110C00152500,62,5.25,61.35,63.55,16,0,0.9999,0,1,152.50,TSLA231110P00152500,0.01,0,0,0.01,0,0,-0.0001,0,3235
Fri Nov 10 2023,TSLA231110C00155000,59.25,5,58.8,60.55,48,0,0.9999,0,56,155.00,TSLA231110P00155000,0.01,0.005,0,0.01,80,0,-0.0001,0,2267
Fri Nov 10 2023,TSLA231110C00157500,57.4,5.65,56.35,58.55,4,0,0.9999,0,31,157.50,TSLA231110P00157500,0.01,0,0,0.01,0,0,-0.0001,0,374
Fri Nov 10 2023,TSLA231110C00160000,54.27,4.97,53.85,55.55,36,0,0.9999,0,59,160.00,TSLA231110P00160000,0.01,0.005,0,0.01,78,0,-0.0001,0,5669
Fri Nov 10 2023,TSLA231110C00162500,51.95,5.2,51.35,53.55,4,0,0.9999,0,2,162.50,TSLA231110P00162500,0.01,0.005,0,0.01,3,0,-0.0001,0,2797
Fri Nov 10 2023,TSLA231110C00165000,49.62,5.37,48.85,50.5,63,0,0.9999,0,138,165.00,TSLA231110P00165000,0.01,0.005,0,0.01,1044,0,-0.0001,0,5336
Fri Nov 10 2023,TSLA231110C00167500,45.15,3.4,46.35,48.55,7,0,0.9999,0,8,167.50,TSLA231110P00167500,0.01,0,0,0.01,0,0,-0.0001,0,1749
Fri Nov 10 2023,TSLA231110C00170000,44.35,5.15,43.85,46.05,71,0,0.9999,0,112,170.00,TSLA231110P00170000,0.01,0.005,0,0.01,222,0,-0.0001,0,3887
Fri Nov 10 2023,TSLA231110C00172500,42.1,5.3,41.35,43.05,34,0,0.9999,0,41,172.50,TSLA231110P00172500,0.01,-0.005,0,0.01,24,0,-0.0001,0,2002
Fri Nov 10 2023,TSLA231110C00175000,39.9,5.6,38.85,39.9,82,0,0.9999,0,75,175.00,TSLA231110P00175000,0.01,0.005,0,0.01,31,0,-0.0001,0,9072
Fri Nov 10 2023,TSLA231110C00177500,37.1,5.325,36.35,38.05,19,0,0.9999,0,56,177.50,TSLA231110P00177500,0.01,-0.005,0,0.01,62,8.4433,-0.0001,0,2171
Fri Nov 10 2023,TSLA231110C00180000,34.29,5.09,33.85,35.55,267,0,0.9999,0,422,180.00,TSLA231110P00180000,0.01,-0.005,0,0.01,584,7.8683,-0.0001,0,17670
Fri Nov 10 2023,TSLA231110C00182500,31.75,4.95,31.35,33.05,104,8.5305,0.9998,0.0001,86,182.50,TSLA231110P00182500,0.01,-0.015,0,0.01,280,7.2985,-0.0002,0.0001,2921
Fri Nov 10 2023,TSLA231110C00185000,29.28,4.98,28.35,31.05,156,7.8858,0.9998,0.0001,191,185.00,TSLA231110P00185000,0.01,-0.015,0,0.01,999,6.7335,-0.0002,0.0001,9806
Fri Nov 10 2023,TSLA231110C00187500,27.24,5.44,26.8,28,263,7.2453,0.9998,0.0001,84,187.50,TSLA231110P00187500,0.01,-0.025,0,0.01,756,6.1729,-0.0002,0.0001,4679
Fri Nov 10 2023,TSLA231110C00190000,24.63,5.38,24.1,26.05,472,6.6084,0.9998,0.0001,659,190.00,TSLA231110P00190000,0.01,-0.045,0,0.01,2495,5.6161,-0.0002,0.0001,11691
Fri Nov 10 2023,TSLA231110C00192500,22.15,5.375,20.85,23.55,247,5.9742,0.9998,0.0001,394,192.50,TSLA231110P00192500,0.01,-0.065,0,0.01,1490,5.0626,-0.0002,0.0001,5824
Fri Nov 10 2023,TSLA231110C00195000,19.6,5.275,18.85,20.1,586,5.342,0.9997,0.0002,1073,195.00,TSLA231110P00195000,0.01,-0.125,0,0.01,4973,4.5117,-0.0003,0.0002,10743
Fri Nov 10 2023,TSLA231110C00197500,17.15,5.225,15.95,18.05,561,4.7104,0.9997,0.0002,1497,197.50,TSLA231110P00197500,0.01,-0.215,0,0.01,13357,3.9628,-0.0003,0.0002,8089
